QuestionID,about,acomp,advcl,advmod,after,against,amod,appos,around,as,at,aux,auxpass,before,between,both,but,by,cc,ccomp,cd,conj,cop,csubj,csubjpass,date,dep,det,dobj,dt,duration,during,either,ex,expl,for,from,fw,if,in,individual,infmod,into,iobj,jj,jjr,jjs,location,mark,md,minus,misc,money,mwe,neg,nn,nnp,nnps,nns,npadvmod,nsubj,nsubjpass,num,number,of,on,ordinal,organization,over,parataxis,partmod,pcomp,pdt,per,percent,person,plus,pobj,pos,poss,possessive,preconj,predet,prep,prp$,prp,prt,quantmod,rb,rbr,rcmod,root,rp,set,such,sym,than,that,time,tmod,to,toward,upon,vb,vbd,vbg,vbn,vbp,vbz,wdt,with,within,worth,wp$,wp,wrb,xcomp, lEquations
20,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,4,1,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,13,1,0,1,0,1,0,4,1,3,0,0,0,0,0,0,0,0,0,6,1,0,3,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1, a*x+b*y=d*c;1*x+1*y=c
21,0,0,1,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,10,0,4,5,1,0,0,0,1,4,7,4,0,0,0,0,0,4,0,0,0,9,0,0,0,0,4,0,0,0,1,1,0,0,6,0,0,15,2,0,7,0,5,0,4,1,4,0,0,0,0,0,1,3,1,0,0,0,0,5,0,0,0,0,0,8,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,3,0,0,0,0,0,0,2,0, b*x+c*y=d;1*x+1*y=a
22,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,3,0,3,1,0,0,0,2,2,4,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,1,0,1,0,0,4,0,0,8,1,0,5,0,5,0,3,0,2,0,0,0,0,0,0,0,0,0,2,0,1,3,0,3,0,0,0,4,3,2,0,3,0,0,0,4,0,2,0,0,0,0,0,2,5,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,4, x=(c-a)/b
23,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,6,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,3,0,0,3,1,2,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,1,0,0, 1*x+1*y=a;1*x-1*y=b
24,0,0,0,1,0,0,5,0,0,0,0,3,1,0,0,0,0,0,2,0,4,1,1,0,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,11,2,0,2,0,2,1,1,4,2,0,0,0,0,0,0,0,0,0,6,2,0,3,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,1,1,1,1,0,0,0,0,1,0, b*x+c*y=d*a;1*x+1*y=d
25,0,0,0,2,0,0,3,0,0,0,0,1,3,0,0,0,0,1,2,1,4,1,1,0,0,0,6,4,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,6,0,0,6,0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,4,0,3,1,0,0,0,0,0,0,0,2,1, b*x+c*y=d;1*x+1*y=a
26,0,0,0,3,0,0,5,0,0,0,0,4,0,0,0,0,0,0,2,0,4,1,0,0,0,0,1,7,4,9,0,0,0,0,0,1,0,0,0,7,0,0,0,0,5,0,0,0,0,1,0,0,6,0,0,12,2,0,8,1,7,0,4,1,3,1,0,0,0,0,0,1,0,2,0,0,0,7,0,1,0,0,0,8,1,4,0,0,0,0,0,7,0,1,0,0,0,0,0,0,3,0,0,4,6,0,0,0,0,0,0,0,0,0,0,3,1, b*x+c*y=d;1*x+1*y=a
27,0,0,0,2,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,3,0,7,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,1,0,4,0,4,0,1,3,1,4,0,0,0,0,1,0,0,3,0,1,0,9,0,1,0,0,0,9,1,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,3,0,0,2,1,1,1,0,4,0,0,0,0,0,0,2,0, c*x-b*y=0;1*x+1*y=a
28,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,4,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,1,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,2,2,0,0, 1*x+1*y=a;1*x-1*y=b
29,0,0,0,1,0,0,6,0,0,0,0,3,1,0,0,0,0,0,10,0,4,5,0,0,0,0,1,6,6,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,1,0,0,6,0,0,10,0,0,11,0,6,1,4,1,3,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,3,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,2,1,0,0,0,0,0,0,1,0, a*x+b*y=c;1*x+1*y=d
30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,3,3,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,3,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0, x=a/(b-c)
31,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,8,2,2,0,0,2,0,4,4,4,0,0,0,0,0,2,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,10,4,0,6,0,6,0,8,6,2,2,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,6,0,2,2,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,2,0,0, a*x+b*y=c;d*x+e*y=f
32,0,0,1,3,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,9,0,9,5,0,0,0,0,1,0,0,0,10,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,16,0,0,4,0,5,0,4,2,1,4,0,0,0,0,1,0,0,1,0,0,0,8,0,0,0,0,0,8,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,1,0, a*x+c*y=d;-1*x+1*y=b
33,0,0,1,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,4,0,4,1,0,0,0,1,2,5,4,5,0,0,0,0,0,2,0,0,0,4,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,5,0,1,7,0,5,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,2,0,1,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,1,0,0,1,0,0,0,0,2,0, a*x+b*y=c;1*x-1*y=d
34,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,4,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1, -b*x1*y=0;1*x+1*y=a
35,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,2,0,4,1,0,0,0,0,1,2,0,2,0,0,0,1,1,4,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,4,0,0,7,0,1,2,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1,0, a*x+b*y=d;1*x+1*y=c
36,0,0,1,3,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,3,2,2,0,0,0,0,0,1,0,0,8,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,8,2,0,3,1,4,0,3,3,1,0,0,0,0,0,0,0,0,2,0,2,0,7,0,0,0,0,0,7,0,2,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,2,3,0,0,0,0,0,0,0,0,0,1,3, x=c/(a+b)
37,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,1,0,0,0,1,3,1,3,0,0,0,1,1,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,8,0,0,5,0,3,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0, b*x+c*y=d;1*x+1*y=a
38,0,0,0,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0,4,0,6,3,2,0,0,2,3,8,0,8,0,0,0,0,0,0,1,0,0,6,0,0,0,0,4,1,0,0,0,0,0,0,4,0,0,28,0,0,6,0,2,1,5,3,1,0,0,0,0,0,0,0,0,0,4,0,0,4,1,1,1,0,0,4,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,1,0, b*x+c*y=d;1*x+1*y=a
39,0,0,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,4,0,8,2,0,0,0,0,0,5,6,5,0,0,0,0,0,1,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,12,6,0,8,0,4,0,8,4,3,0,0,0,0,0,2,0,0,2,0,2,0,6,2,2,2,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,0,0,0,0,0,0,1,0, x=(d-b)/(a-c)
40,0,0,1,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,3,5,3,0,0,0,0,0,2,0,0,0,7,0,0,0,0,1,0,0,0,1,1,0,2,6,0,0,2,0,0,8,0,5,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,6,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,6,0,0,1,2,0,0,0,0,0,0,0,1,2, x=a/(c-b)
41,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,6,2,4,0,0,3,2,10,0,10,2,0,0,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,27,14,0,6,1,4,0,5,3,5,3,0,11,0,0,1,0,0,1,0,4,0,11,1,2,1,0,0,11,1,0,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,2,0,0, a*x+b*y=c;1*x-1*y=d
42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,2,0,0,0,0,4,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,0,3,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0, c*x+c*y=d;1*x-1*y=b
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,1,2,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0, 1*x+1*y=c;1*x-1*y=b
44,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,2,1,2,2,0,0,0,0,2,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,4,1,0,4,0,2,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,1,5,0,0,0,0,0,6,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0, x=(c-a)/b
45,0,0,0,2,0,0,3,0,0,0,0,2,0,0,0,0,0,0,4,0,4,2,1,0,0,0,0,1,5,1,0,0,0,0,0,3,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,7,0,0,11,0,5,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,1,0,0,5,1,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,3,3,0,0,2,0,0,0,0,0,0,0,2,0, b*x+c*y=a;1*x+1*y=d
46,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,0,0,0,3,4,1,4,8,0,0,0,0,3,0,0,0,4,0,0,0,0,2,0,0,0,1,0,0,0,6,0,0,8,0,0,4,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0, a*x+b*y=c;1*x+1*y=d
47,0,0,1,3,0,0,2,0,0,0,3,1,0,0,0,0,0,0,6,0,5,3,1,0,0,0,3,8,6,8,10,0,0,0,0,2,0,0,0,7,0,0,0,0,2,0,0,0,1,1,0,0,6,0,0,17,0,0,7,1,5,0,5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,6,0,1,0,0,0,6,1,3,0,0,1,1,0,4,0,0,0,0,0,0,0,1,3,0,0,4,0,1,0,0,3,0,0,0,0,0,0,1,0, b*x+c*y=d;1*x+1*y=e
48,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,3,1,3,0,0,0,4,4,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,1,0,0,6,0,5,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,2,0, a*x+b*y=c;1*x+1*y=d
49,0,0,0,1,0,0,7,0,0,0,1,0,2,0,0,0,0,0,6,0,5,3,2,0,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,6,0,0,4,0,0,10,0,5,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,2,2,0,0,0,0,7,0,2,0,0,1,0,0,0,0,0,1,0, b*x+c*y=d;1*x+1*y=a
50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,0,0,1,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0, x=b/(a-c)
51,0,0,0,1,0,0,3,0,0,0,0,2,1,0,0,0,0,1,2,0,5,1,1,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,1,0,2,5,2,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,1,0,0,0,0,0,0,1,1, b*x+c*x=e*d;1*x+1*y=d
52,0,0,1,2,0,0,4,1,0,0,2,3,0,0,0,0,0,0,2,0,8,1,0,0,0,0,1,3,3,3,0,0,0,0,0,0,0,0,0,6,0,0,0,2,5,0,0,0,1,2,0,0,4,0,0,8,0,0,3,0,3,0,7,2,1,0,0,0,0,0,1,0,0,0,8,0,0,4,0,0,0,0,0,4,0,2,0,0,1,0,0,3,0,2,0,0,0,0,0,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,2,1, b*x+c*y=d;1*x+1*y=a
